epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,9.33305,1.87368,0.45614,0.74488,0.06195,0.29183,0.04376,0.01425,1.16452,0.65311,0.27393,0.00038,0.00038,0.00038
2,13.6444,1.15659,0.48615,0.26377,0.36091,0.53137,0.29098,0.09626,0.95808,0.804,0.21967,0.000776139,0.000776139,0.000776139
3,18.175,0.95405,0.45917,0.18948,0.68252,0.64392,0.59444,0.24525,0.87553,0.53739,0.21637,0.00116832,0.00116832,0.00116832
4,23.1479,0.89862,0.46841,0.17051,0.57594,0.51892,0.42572,0.09947,1.08733,0.52755,0.28744,0.00155654,0.00155654,0.00155654
5,27.5291,0.88486,0.47208,0.16606,0.07846,0.07669,0.01992,0.00319,1.42725,1.0054,0.41037,0.0019408,0.0019408,0.0019408
6,32.0089,0.87468,0.46745,0.15734,0.01148,0.01494,0.00253,0.00072,1.57635,1.22669,0.4745,0.0019505,0.0019505,0.0019505
7,36.7171,0.87068,0.46595,0.16156,0.65035,0.57894,0.54383,0.19215,0.95707,0.65681,0.23328,0.0019406,0.0019406,0.0019406
8,41.3566,0.82732,0.47829,0.15097,0.03465,0.05129,0.00567,0.00089,1.40992,1.02662,0.40413,0.0019307,0.0019307,0.0019307
9,45.8188,0.81253,0.47436,0.14276,0.67328,0.71564,0.62885,0.27583,0.77503,0.59759,0.16302,0.0019208,0.0019208,0.0019208
10,50.5037,0.80338,0.47702,0.14383,0.48568,0.54781,0.39303,0.07562,1.11289,0.81986,0.29345,0.0019109,0.0019109,0.0019109
11,55.0074,0.79821,0.47645,0.13705,0.62186,0.66285,0.54736,0.15984,0.93949,0.62964,0.22976,0.001901,0.001901,0.001901
12,59.5336,0.77652,0.48249,0.14052,0.66879,0.6828,0.60343,0.21123,0.90088,0.51143,0.21655,0.0018911,0.0018911,0.0018911
13,64.296,0.77496,0.48091,0.13477,0.66227,0.68625,0.59067,0.19565,0.92353,0.52849,0.22308,0.0018812,0.0018812,0.0018812
14,68.8986,0.78945,0.47144,0.13667,0.61885,0.65488,0.54018,0.13632,1.00509,0.64293,0.25818,0.0018713,0.0018713,0.0018713
15,73.3539,0.77135,0.46994,0.12152,0.64209,0.65687,0.55267,0.15346,0.98293,0.50502,0.24861,0.0018614,0.0018614,0.0018614
16,77.5661,0.7549,0.47863,0.1272,0.71774,0.74651,0.67076,0.30498,0.74157,0.50905,0.14367,0.0018515,0.0018515,0.0018515
