epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,5.55682,1.71373,0.43515,0.62191,0.11028,0.41484,0.08174,0.02275,1.08417,0.94368,0.26173,0.00065,0.00065,0.00065
2,11.4069,1.0657,0.47353,0.24818,0.492,0.46066,0.4084,0.15249,1.05011,0.73561,0.25865,0.00131015,0.00131015,0.00131015
3,17.043,0.96992,0.46628,0.20177,0.63373,0.57043,0.53706,0.18685,0.95972,0.69652,0.23475,0.0019637,0.0019637,0.0019637
4,23.0082,0.93576,0.49484,0.19183,0.33985,0.38446,0.21061,0.04496,nan,nan,nan,0.0019703,0.0019703,0.0019703
5,28.4073,0.8998,0.47528,0.18098,0.67607,0.59163,0.55516,0.2269,nan,nan,nan,0.0019604,0.0019604,0.0019604
6,33.9892,0.87731,0.47873,0.16643,0.57166,0.54102,0.48576,0.16276,nan,nan,nan,0.0019505,0.0019505,0.0019505
7,39.414,0.86235,0.46829,0.16266,0.61592,0.5757,0.51834,0.18297,nan,nan,nan,0.0019406,0.0019406,0.0019406
8,44.9116,0.84129,0.46608,0.15742,0.65359,0.65488,0.59015,0.2096,0.92516,0.66587,0.21637,0.0019307,0.0019307,0.0019307
9,50.2293,0.80726,0.47427,0.14536,0.65372,0.66086,0.5992,0.22608,0.91292,0.65017,0.20884,0.0019208,0.0019208,0.0019208
10,55.5387,0.85283,0.46163,0.16226,0.69555,0.73357,0.66152,0.30482,0.74479,0.57008,0.1521,0.0019109,0.0019109,0.0019109
11,61.4309,0.81735,0.47499,0.14955,0.69945,0.68727,0.6274,0.24698,0.84581,0.50474,0.18434,0.001901,0.001901,0.001901
12,66.9217,0.77687,0.482,0.14158,0.72317,0.71962,0.67856,0.30433,0.7233,0.60434,0.14551,0.0018911,0.0018911,0.0018911
13,72.2965,0.81774,0.48849,0.15626,0.67564,0.74378,0.66331,0.2862,0.74773,0.82429,0.15705,0.0018812,0.0018812,0.0018812
14,77.8956,0.79459,0.48869,0.1494,0.69274,0.70736,0.66364,0.28896,0.74989,0.58553,0.1586,0.0018713,0.0018713,0.0018713
15,83.6692,0.79848,0.48235,0.13792,0.67387,0.68875,0.61586,0.24909,0.81496,0.58728,0.17204,0.0018614,0.0018614,0.0018614
16,89.1316,0.76831,0.48606,0.13721,0.65656,0.715,0.62445,0.2781,0.74517,0.5458,0.15361,0.0018515,0.0018515,0.0018515
17,94.6369,0.77075,0.48528,0.13471,0.66157,0.65837,0.58077,0.19612,nan,nan,nan,0.0018416,0.0018416,0.0018416
18,100.275,0.75465,0.48205,0.12755,0.67174,0.69299,0.61153,0.2322,0.86062,0.69753,0.18985,0.0018317,0.0018317,0.0018317
19,105.81,0.75811,0.48846,0.12883,0.71411,0.70531,0.63559,0.26001,0.76731,0.58595,0.15653,0.0018218,0.0018218,0.0018218
20,111.421,0.72707,0.48061,0.12063,0.70759,0.73389,0.65305,0.28128,0.749,0.53337,0.14604,0.0018119,0.0018119,0.0018119
21,116.967,0.75782,0.4793,0.13124,0.7239,0.73643,0.6715,0.29996,0.71615,0.554,0.13737,0.001802,0.001802,0.001802
22,122.77,0.75972,0.47852,0.12755,0.68418,0.7088,0.62882,0.24523,0.82737,0.55157,0.17856,0.0017921,0.0017921,0.0017921
23,128.543,0.75449,0.53477,0.13068,0.71133,0.74611,0.67509,0.28862,0.75519,0.58474,0.14932,0.0017822,0.0017822,0.0017822
24,134.259,0.7808,0.52749,0.13774,0.66194,0.67928,0.59686,0.19343,0.84801,0.82093,0.19667,0.0017723,0.0017723,0.0017723
25,140.005,0.78156,0.49436,0.14606,0.63937,0.69472,0.58384,0.19786,0.87488,0.59812,0.2012,0.0017624,0.0017624,0.0017624
26,145.538,0.75242,0.48177,0.12481,0.70375,0.74303,0.66508,0.29395,0.73309,0.64118,0.14142,0.0017525,0.0017525,0.0017525
27,151.093,0.75637,0.49426,0.13113,0.72996,0.74303,0.6777,0.30164,0.71805,0.54985,0.14935,0.0017426,0.0017426,0.0017426
28,156.974,0.72019,0.50356,0.12186,0.6856,0.74402,0.65274,0.26726,0.7317,0.70044,0.14839,0.0017327,0.0017327,0.0017327
29,162.979,0.7521,0.47607,0.12589,0.72143,0.73902,0.68168,0.27858,0.8113,0.51195,0.20182,0.0017228,0.0017228,0.0017228
30,168.518,0.71546,0.48269,0.11641,0.72367,0.73157,0.67938,0.30795,0.71289,0.56007,0.137,0.0017129,0.0017129,0.0017129
31,174.256,0.70931,0.63252,0.11978,0.68599,0.72893,0.64476,0.2717,0.73814,0.57335,0.14686,0.001703,0.001703,0.001703
32,179.923,0.74374,0.47794,0.12687,0.70279,0.74541,0.66464,0.29076,0.71522,0.54771,0.13738,0.0016931,0.0016931,0.0016931
33,185.566,0.72713,0.47665,0.12349,0.71845,0.749,0.67472,0.30601,0.7169,0.5418,0.13452,0.0016832,0.0016832,0.0016832
