epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.73548,3.91521,2.80472,1.79219,0,0,0,0,nan,nan,nan,0.00038,0.00038,0.00038
2,10.6041,2.45158,1.29342,1.17011,0,0,0,0,nan,nan,nan,0.000776139,0.000776139,0.000776139
3,12.7472,2.3072,1.26243,1.13592,0,0,0,0,nan,nan,nan,0.00116832,0.00116832,0.00116832
4,14.7665,2.23462,1.17346,1.11095,0.00138,0.00149,0.00034,6e-05,nan,nan,nan,0.00155654,0.00155654,0.00155654
5,16.7534,2.38244,1.30434,1.12202,0,0,0,0,nan,nan,nan,0.0019408,0.0019408,0.0019408
6,18.741,2.20694,1.20183,1.08885,0.12376,0.04283,0.0229,0.0064,nan,nan,nan,0.0019505,0.0019505,0.0019505
7,20.8001,2.21163,1.2301,1.08333,0.38063,0.43526,0.29696,0.08867,nan,nan,nan,0.0019406,0.0019406,0.0019406
8,22.8231,2.16932,1.21407,1.0768,0.03682,0.0249,0.01146,0.00275,nan,nan,nan,0.0019307,0.0019307,0.0019307
9,24.8337,2.18861,1.22781,1.06802,0.20135,0.32254,0.1403,0.03766,nan,nan,nan,0.0019208,0.0019208,0.0019208
10,26.7179,2.22427,1.23217,1.07,0.05666,0.06375,0.01369,0.00227,nan,nan,nan,0.0019109,0.0019109,0.0019109
11,28.5911,2.12077,1.21037,1.04616,0.07677,0.01892,0.01004,0.00235,nan,nan,nan,0.001901,0.001901,0.001901
12,30.6551,2.06897,1.19792,1.05489,0.10763,0.08815,0.02534,0.00555,4.20994,5.08377,1.56497,0.0018911,0.0018911,0.0018911
13,32.5377,2.02618,1.16025,1.02922,0.05265,0.04781,0.01234,0.00331,4.66738,4.96447,1.80354,0.0018812,0.0018812,0.0018812
14,34.4297,2.18783,1.22058,1.05908,0.03721,0.08964,0.01602,0.00406,4.33836,7.34825,1.62063,0.0018713,0.0018713,0.0018713
15,36.4581,2.13229,1.17759,1.02922,0.11126,0.09811,0.03259,0.00561,4.06056,3.42826,1.55295,0.0018614,0.0018614,0.0018614
16,38.3534,2.00058,1.18192,1.0253,0.53021,0.44721,0.36507,0.09796,3.10996,2.07786,1.2756,0.0018515,0.0018515,0.0018515
17,40.4337,2.07093,1.20509,1.03843,0.39862,0.59811,0.37512,0.1068,2.73423,3.84906,1.14982,0.0018416,0.0018416,0.0018416
18,42.6383,2.03692,1.18749,1.0337,0.59475,0.68725,0.51656,0.19453,2.16709,1.84485,1.02655,0.0018317,0.0018317,0.0018317
19,44.6656,1.9429,1.13794,1.00209,0.46616,0.57321,0.34898,0.09566,3.00626,3.00773,1.25828,0.0018218,0.0018218,0.0018218
20,46.5465,1.99193,1.12159,1.01095,0.6244,0.61653,0.50857,0.16059,2.57201,2.10372,1.10179,0.0018119,0.0018119,0.0018119
21,48.5643,1.94733,1.11235,1.00203,0.65597,0.66783,0.57087,0.24809,1.93529,2.02842,0.99008,0.001802,0.001802,0.001802
22,50.6512,1.9704,1.11751,1.01265,0.72295,0.6489,0.59312,0.26059,1.97258,1.44474,1.00353,0.0017921,0.0017921,0.0017921
23,52.7587,1.99881,1.14672,1.01446,0.66193,0.65438,0.55679,0.20629,2.32279,2.13958,1.05065,0.0017822,0.0017822,0.0017822
24,54.8005,1.99244,1.13795,1.00427,0.23302,0.30329,0.10848,0.01767,3.84826,3.73606,1.49361,0.0017723,0.0017723,0.0017723
25,56.6681,2.00844,1.14472,1.03101,0.65721,0.69509,0.57157,0.22249,2.15434,2.0363,1.01878,0.0017624,0.0017624,0.0017624
26,58.5383,1.95152,1.10007,0.99983,0.30023,0.40787,0.18746,0.02889,3.63204,2.74557,1.36663,0.0017525,0.0017525,0.0017525
27,60.5422,2.00132,1.1371,1.01404,0.60667,0.6738,0.50692,0.15996,2.55608,2.17175,1.12724,0.0017426,0.0017426,0.0017426
28,62.432,1.86282,1.08019,0.99637,0.6428,0.63496,0.51882,0.14051,2.89383,2.02943,1.18682,0.0017327,0.0017327,0.0017327
29,64.3809,1.97631,1.11782,1.00204,0.53452,0.60618,0.44063,0.13525,3.00028,3.80552,1.265,0.0017228,0.0017228,0.0017228
30,66.3922,1.9424,1.10551,1.0107,0.69454,0.68875,0.58921,0.22433,2.25111,1.84231,1.04944,0.0017129,0.0017129,0.0017129
31,68.3295,1.95351,1.12314,0.99676,0.51483,0.54167,0.37371,0.08379,3.25276,2.41468,1.26529,0.001703,0.001703,0.001703
32,70.2328,1.91766,1.10831,0.99738,0.20059,0.24701,0.09005,0.01406,3.90645,3.47321,1.45309,0.0016931,0.0016931,0.0016931
33,72.2844,1.93948,1.14937,0.99242,0.63356,0.67851,0.54166,0.1866,2.44148,2.00515,1.07734,0.0016832,0.0016832,0.0016832
34,74.1883,1.88926,1.11059,0.98243,0.45416,0.56823,0.34031,0.08885,3.21935,4.1257,1.31478,0.0016733,0.0016733,0.0016733
35,76.0871,1.92608,1.1065,0.9893,0.69409,0.68926,0.60442,0.2532,2.23062,1.78496,1.0432,0.0016634,0.0016634,0.0016634
36,78.1287,1.96988,1.09284,0.99905,0.08165,0.09114,0.01604,0.00231,4.51318,3.56558,1.73848,0.0016535,0.0016535,0.0016535
37,80.0459,1.92902,1.10114,0.99115,0.44858,0.58665,0.3555,0.09989,3.08964,3.94915,1.24792,0.0016436,0.0016436,0.0016436
38,81.951,2.02622,1.09844,1.01555,0.5938,0.56424,0.45151,0.10031,3.04278,1.60937,1.20043,0.0016337,0.0016337,0.0016337
39,83.9588,1.91394,1.11501,1.00164,0.68127,0.70255,0.58881,0.23993,2.03941,1.84646,0.99857,0.0016238,0.0016238,0.0016238
40,85.8623,1.97084,1.08958,1.00124,0.56675,0.60652,0.45012,0.11415,2.88598,1.95939,1.16651,0.0016139,0.0016139,0.0016139
41,87.7576,1.86173,1.07539,0.98537,0.66113,0.64791,0.55155,0.18206,2.52869,1.47441,1.08473,0.001604,0.001604,0.001604
42,89.77,1.85445,1.09267,0.97318,0.3872,0.50797,0.27717,0.06198,3.35473,3.82585,1.30806,0.0015941,0.0015941,0.0015941
43,91.6627,1.88061,1.08339,0.98295,0.62502,0.6489,0.51701,0.17597,2.74469,2.01146,1.1659,0.0015842,0.0015842,0.0015842
44,93.5835,1.94502,1.07129,0.9895,0.58326,0.59454,0.45124,0.09346,3.1917,1.87182,1.22491,0.0015743,0.0015743,0.0015743
45,95.5954,1.94864,1.08003,0.98868,0.66671,0.69422,0.57318,0.22421,2.33202,1.8528,1.05867,0.0015644,0.0015644,0.0015644
46,97.5297,1.8552,1.06343,0.98851,0.69571,0.7105,0.61974,0.26446,2.0116,1.37423,0.98979,0.0015545,0.0015545,0.0015545
47,99.5591,1.89457,1.06787,0.98263,0.70082,0.69871,0.60926,0.24352,2.06117,1.35414,1.00421,0.0015446,0.0015446,0.0015446
