epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.5058,4.82833,3.74577,2.23418,0.04633,0.61604,0.04174,0.01427,2.60941,inf,1.18238,0.00018,0.00018,0.00018
2,3.85574,2.70383,1.53349,1.25007,0,0,0,0,nan,nan,nan,0.000378119,0.000378119,0.000378119
3,5.57365,2.3065,1.22724,1.13526,0,0,0,0,nan,nan,nan,0.000574258,0.000574258,0.000574258
4,7.43315,2.17365,1.15937,1.10732,0,0,0,0,nan,nan,nan,0.000768417,0.000768417,0.000768417
5,9.16351,2.15779,1.16035,1.08597,0,0,0,0,nan,nan,nan,0.000960596,0.000960596,0.000960596
6,10.793,2.25981,1.19644,1.09036,0,0,0,0,nan,nan,nan,0.0011508,0.0011508,0.0011508
7,12.5523,2.13138,1.19969,1.0721,0,0,0,0,nan,nan,nan,0.00133901,0.00133901,0.00133901
8,14.1611,2.01886,1.12592,1.04797,0,0,0,0,nan,nan,nan,0.00152525,0.00152525,0.00152525
9,15.7922,2.10866,1.13832,1.04031,0,0,0,0,nan,nan,nan,0.00170951,0.00170951,0.00170951
10,17.4264,2.18522,1.14105,1.06478,0,0,0,0,nan,nan,nan,0.00189179,0.00189179,0.00189179
11,19.1761,2.17417,1.21689,1.05813,0,0,0,0,nan,nan,nan,0.001901,0.001901,0.001901
12,20.7908,2.07604,1.18366,1.05459,0,0,0,0,nan,nan,nan,0.0018911,0.0018911,0.0018911
13,22.4288,1.94346,1.1595,1.02687,0,0,0,0,nan,nan,nan,0.0018812,0.0018812,0.0018812
14,24.1706,2.02644,1.1316,1.03058,0.00557,0.00249,0.00259,0.00037,nan,nan,nan,0.0018713,0.0018713,0.0018713
15,25.8697,2.08946,1.14822,1.01371,0.05305,0.04034,0.00864,0.00151,nan,nan,nan,0.0018614,0.0018614,0.0018614
16,27.5319,2.11727,1.18591,1.04799,0.01824,0.0244,0.00408,0.00121,nan,nan,nan,0.0018515,0.0018515,0.0018515
17,29.3156,2.00022,1.12778,1.02519,0.00545,0.01594,0.00165,0.00043,nan,nan,nan,0.0018416,0.0018416,0.0018416
18,30.9659,1.97472,1.15633,1.00992,0.00187,0.00149,0.00039,8e-05,nan,nan,nan,0.0018317,0.0018317,0.0018317
19,32.6166,1.98356,1.12558,1.01333,0.01305,0.01992,0.00296,0.00065,nan,nan,nan,0.0018218,0.0018218,0.0018218
20,34.4169,1.92674,1.10042,1.0071,0.0136,0.02191,0.00244,0.00046,nan,nan,nan,0.0018119,0.0018119,0.0018119
21,36.0882,1.994,1.17194,0.99818,0.01113,0.01942,0.00258,0.00086,nan,nan,nan,0.001802,0.001802,0.001802
22,37.7664,1.90626,1.1356,0.99724,0.12755,0.27689,0.07169,0.01689,4.061,18.1032,1.51843,0.0017921,0.0017921,0.0017921
23,39.7083,1.90132,1.11972,0.9909,0.45737,0.46552,0.30368,0.08786,3.94003,6.95963,1.56306,0.0017822,0.0017822,0.0017822
24,41.5301,1.90323,1.12012,1.00605,0.24799,0.39777,0.15346,0.03992,3.91615,11.8117,1.44222,0.0017723,0.0017723,0.0017723
25,43.2404,2.05558,1.12873,1.02489,0.09048,0.17181,0.03053,0.00528,4.40571,9.40434,1.74901,0.0017624,0.0017624,0.0017624
26,45.0156,1.96743,1.16215,1.01445,0.29669,0.4746,0.23151,0.05453,3.68209,6.61065,1.41107,0.0017525,0.0017525,0.0017525
27,46.6801,1.98625,1.14579,1.00378,0.28045,0.4751,0.1958,0.04471,3.92326,8.09492,1.47835,0.0017426,0.0017426,0.0017426
28,48.3968,1.87414,1.12312,0.98939,0.36372,0.52241,0.26136,0.06063,3.61404,5.98723,1.39088,0.0017327,0.0017327,0.0017327
29,50.2091,1.9182,1.09807,0.99439,0.217,0.34313,0.11242,0.02115,4.10371,7.49328,1.62156,0.0017228,0.0017228,0.0017228
30,51.8929,1.88808,1.10932,0.99029,0.23541,0.37151,0.13891,0.04062,4.10259,9.30064,1.66098,0.0017129,0.0017129,0.0017129
