epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.02036,3.90656,2.92346,1.81478,0.24739,0.34462,0.14489,0.05048,nan,nan,nan,0.00038,0.00038,0.00038
2,3.89734,2.43562,1.32166,1.16196,0.08089,0.56175,0.06645,0.02044,nan,nan,nan,0.000776139,0.000776139,0.000776139
3,5.63767,2.20038,1.17923,1.10896,0.00982,0.00249,0.00496,0.0006,nan,nan,nan,0.00116832,0.00116832,0.00116832
4,7.36855,2.16172,1.15014,1.0993,0.00449,0.05179,0.00226,0.00031,nan,nan,nan,0.00155654,0.00155654,0.00155654
5,9.08,2.34505,1.28844,1.12413,9e-05,0.0005,5e-05,0,nan,nan,nan,0.0019408,0.0019408,0.0019408
6,10.789,2.19771,1.18672,1.08808,0.00279,0.03685,0.00145,0.00056,5.38497,inf,9.16974,0.0019505,0.0019505,0.0019505
7,12.4966,2.18081,1.19782,1.08088,0.01483,0.03934,0.00536,0.00102,4.6851,nan,2.00141,0.0019406,0.0019406,0.0019406
8,14.1962,2.0728,1.12858,1.06866,0.02502,0.07719,0.00698,0.00139,4.58497,116.199,2.03219,0.0019307,0.0019307,0.0019307
9,15.9075,2.0727,1.13566,1.05522,0.02077,0.03187,0.00353,0.0006,4.80228,29.3549,2.4449,0.0019208,0.0019208,0.0019208
10,17.6872,2.17054,1.15899,1.0702,0.11965,0.21414,0.04468,0.00889,3.71926,4.52858,1.52978,0.0019109,0.0019109,0.0019109
11,19.3835,2.09701,1.14806,1.05554,0.42994,0.45319,0.29149,0.06675,2.89905,2.31008,1.24486,0.001901,0.001901,0.001901
12,21.2848,2.03626,1.14204,1.06445,0.14549,0.14641,0.04852,0.00931,3.88345,2.91542,1.54483,0.0018911,0.0018911,0.0018911
13,23.0056,2.00399,1.10275,1.04405,0.31264,0.4238,0.19671,0.04465,3.04995,2.36705,1.28756,0.0018812,0.0018812,0.0018812
14,24.7396,2.06102,1.13319,1.04476,0.41769,0.39544,0.24654,0.04437,3.23772,2.07111,1.32644,0.0018713,0.0018713,0.0018713
15,26.4274,2.05205,1.10172,1.02938,0.10122,0.13845,0.02878,0.00428,4.11931,3.87875,1.62657,0.0018614,0.0018614,0.0018614
16,28.0982,2.01664,1.15138,1.04367,0.05766,0.06972,0.0191,0.00393,4.45986,2.46729,1.78241,0.0018515,0.0018515,0.0018515
17,29.7954,2.06708,1.16677,1.05412,0.21493,0.50697,0.15408,0.03548,2.83977,4.71438,1.26792,0.0018416,0.0018416,0.0018416
18,31.5578,2.04048,1.14818,1.05003,0.71274,0.71912,0.63537,0.27613,1.8853,1.50419,1.02228,0.0018317,0.0018317,0.0018317
19,33.4925,1.95277,1.11358,1.02461,0.52238,0.49729,0.37271,0.09783,2.91002,1.92802,1.23811,0.0018218,0.0018218,0.0018218
20,35.1584,2.01648,1.10406,1.0333,0.33599,0.4258,0.22908,0.04069,3.49919,2.48781,1.38775,0.0018119,0.0018119,0.0018119
21,36.8786,1.95155,1.09954,1.01921,0.04365,0.05279,0.00808,0.00195,4.55898,5.10338,1.88478,0.001802,0.001802,0.001802
22,38.627,1.95737,1.0897,1.03011,0.60852,0.63863,0.50794,0.14955,2.40319,1.4828,1.10646,0.0017921,0.0017921,0.0017921
23,40.3439,1.9895,1.09771,1.03221,0.64301,0.60159,0.54352,0.2182,2.2424,1.88681,1.08659,0.0017822,0.0017822,0.0017822
24,42.0666,2.00233,1.1156,1.02226,0.30121,0.2993,0.14356,0.02252,3.64723,2.75421,1.43745,0.0017723,0.0017723,0.0017723
25,43.8578,2.00161,1.12325,1.04539,0.56465,0.50498,0.39366,0.08434,3.074,1.49012,1.27478,0.0017624,0.0017624,0.0017624
26,45.5602,1.95597,1.07782,1.01793,0.24481,0.26942,0.11021,0.01646,3.76154,2.92711,1.47928,0.0017525,0.0017525,0.0017525
27,47.2544,2.00495,1.1258,1.02832,0.60329,0.59412,0.48941,0.16552,2.63904,1.85997,1.17355,0.0017426,0.0017426,0.0017426
28,48.9548,1.84566,1.0719,1.00533,0.67143,0.66036,0.58793,0.21464,2.24049,1.67918,1.06766,0.0017327,0.0017327,0.0017327
29,50.6591,1.95405,1.09314,1.01539,0.4843,0.50946,0.35591,0.07312,3.18787,1.99823,1.29034,0.0017228,0.0017228,0.0017228
30,52.3491,1.9122,1.11185,1.01881,0.62109,0.60906,0.51591,0.15229,2.60966,1.5657,1.13566,0.0017129,0.0017129,0.0017129
31,54.1032,1.93113,1.10322,1.00618,0.47461,0.52291,0.34333,0.06858,3.2405,2.64354,1.31631,0.001703,0.001703,0.001703
32,55.8344,1.88368,1.06612,1.00638,0.65726,0.65895,0.53556,0.14548,2.54097,1.56239,1.12628,0.0016931,0.0016931,0.0016931
33,57.6728,1.95346,1.09867,1.01257,0.56369,0.61902,0.46644,0.13238,2.68269,1.84749,1.16029,0.0016832,0.0016832,0.0016832
34,59.3976,1.9109,1.07474,1.00215,0.68599,0.69273,0.60925,0.24269,2.16298,1.4941,1.05445,0.0016733,0.0016733,0.0016733
35,61.11,1.93648,1.07103,1.01102,0.54671,0.49303,0.39084,0.08513,3.2012,1.73917,1.28568,0.0016634,0.0016634,0.0016634
36,62.8028,1.85668,1.03931,0.9958,0.44583,0.44572,0.27811,0.04744,3.52528,1.89116,1.3786,0.0016535,0.0016535,0.0016535
37,64.5091,1.90001,1.0469,1.0069,0.24261,0.29283,0.11696,0.02355,3.61537,3.63438,1.46732,0.0016436,0.0016436,0.0016436
38,66.1829,1.9494,1.02999,1.02005,0.58239,0.57769,0.44308,0.09472,3.11279,1.65233,1.2556,0.0016337,0.0016337,0.0016337
39,67.8632,1.89472,1.06881,1.0123,0.51989,0.57541,0.40228,0.11233,2.96003,2.37419,1.22348,0.0016238,0.0016238,0.0016238
40,69.5474,1.91832,1.0452,1.00927,0.69503,0.7173,0.61807,0.26198,1.88735,1.30336,1.00426,0.0016139,0.0016139,0.0016139
41,71.3058,1.86159,1.03877,1.00438,0.63442,0.6525,0.53462,0.15735,2.60092,1.5066,1.12594,0.001604,0.001604,0.001604
42,72.9738,1.82869,1.05521,0.98396,0.48658,0.48556,0.34089,0.06749,3.37588,1.85914,1.31204,0.0015941,0.0015941,0.0015941
43,74.6419,1.8619,1.04432,0.99011,0.64987,0.68028,0.58213,0.23441,2.15164,1.47783,1.03784,0.0015842,0.0015842,0.0015842
44,76.3228,1.86902,1.05074,0.98975,0.5666,0.57769,0.43826,0.09745,3.01674,1.62645,1.20515,0.0015743,0.0015743,0.0015743
45,77.9926,1.86157,1.0566,0.98371,0.63398,0.61902,0.5261,0.15837,2.77929,1.59303,1.17273,0.0015644,0.0015644,0.0015644
46,79.6775,1.83772,1.03677,0.99822,0.71708,0.71822,0.6294,0.27558,1.91253,1.37742,0.99869,0.0015545,0.0015545,0.0015545
47,81.3715,1.96976,1.06961,1.00865,0.56567,0.61952,0.47061,0.10503,2.99213,1.82768,1.19871,0.0015446,0.0015446,0.0015446
48,83.1096,1.88052,1.07202,0.98432,0.70462,0.6439,0.56228,0.18585,2.59515,1.37794,1.10054,0.0015347,0.0015347,0.0015347
