epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.55451,3.93388,2.9033,1.82799,0.19725,0.08267,0.07785,0.02785,nan,nan,nan,0.00038,0.00038,0.00038
2,3.20976,2.44844,1.37571,1.16851,0,0,0,0,nan,nan,nan,0.000776139,0.000776139,0.000776139
3,5.01826,2.20155,1.21481,1.10451,0.01073,0.12898,0.00609,0.00105,nan,nan,nan,0.00116832,0.00116832,0.00116832
4,6.7188,2.2492,1.19157,1.10797,0,0,0,0,nan,nan,nan,0.00155654,0.00155654,0.00155654
5,8.4642,2.36202,1.29303,1.11192,0.00335,0.04034,0.00165,0.00036,4.99837,inf,2.93806,0.0019408,0.0019408,0.0019408
6,10.8356,2.18263,1.18737,1.0799,0.18313,0.20219,0.10242,0.01804,3.62845,30.9615,2.71604,0.0019505,0.0019505,0.0019505
7,12.5877,2.20294,1.20623,1.08122,0.019,0.22859,0.0117,0.00501,nan,nan,nan,0.0019406,0.0019406,0.0019406
8,14.358,2.10408,1.1866,1.06112,0.00361,0.04382,0.00183,0.0008,4.04552,inf,7.53007,0.0019307,0.0019307,0.0019307
9,16.1473,2.06151,1.15784,1.0418,0.22033,0.63613,0.17687,0.06782,2.16146,inf,1.20555,0.0019208,0.0019208,0.0019208
10,18.1761,2.16835,1.19064,1.05539,0.02089,0.16434,0.01026,0.00192,3.99849,73.3004,1.60495,0.0019109,0.0019109,0.0019109
11,19.9639,2.12335,1.16846,1.04645,0.13571,0.20916,0.05284,0.01218,3.6695,9.02152,1.46822,0.001901,0.001901,0.001901
12,21.7419,2.05485,1.18318,1.05168,0.62968,0.60121,0.50005,0.15714,2.3689,1.99192,1.0845,0.0018911,0.0018911,0.0018911
13,23.7874,2.0015,1.15519,1.02659,0.08365,0.35956,0.05088,0.01491,3.0284,inf,1.39196,0.0018812,0.0018812,0.0018812
14,25.6761,2.02051,1.15019,1.01772,0.05346,0.45618,0.0383,0.01121,3.10827,inf,1.37105,0.0018713,0.0018713,0.0018713
15,27.4648,2.11156,1.16566,1.0223,0.45974,0.50643,0.32678,0.0647,3.13726,2.81099,1.22826,0.0018614,0.0018614,0.0018614
16,29.2346,1.96957,1.14639,1.01836,0.70716,0.67231,0.61794,0.27245,1.87753,1.39566,0.98768,0.0018515,0.0018515,0.0018515
17,31.2583,2.02015,1.15671,1.02381,0.48856,0.49402,0.34575,0.07299,2.88715,2.15257,1.16259,0.0018416,0.0018416,0.0018416
18,33.029,2.01527,1.15117,1.0235,0.57829,0.5402,0.43207,0.09704,2.93678,1.51474,1.18554,0.0018317,0.0018317,0.0018317
19,34.8072,1.94307,1.13437,1.00275,0.66427,0.6494,0.56112,0.1914,2.38928,1.71842,1.06373,0.0018218,0.0018218,0.0018218
20,36.5712,2.0118,1.1319,1.01441,0.07043,0.14293,0.0248,0.00468,4.09859,4.09318,1.5472,0.0018119,0.0018119,0.0018119
21,38.472,1.98182,1.11201,1.00771,0.53506,0.62948,0.4459,0.13698,2.47266,2.08097,1.07376,0.001802,0.001802,0.001802
22,40.2665,1.92986,1.10003,1.00073,0.57164,0.59746,0.45342,0.11969,2.57956,1.54545,1.10294,0.0017921,0.0017921,0.0017921
23,42.0565,1.98186,1.12443,1.01011,0.64493,0.66185,0.5774,0.24445,1.86615,1.39867,0.98095,0.0017822,0.0017822,0.0017822
24,43.8476,1.98957,1.14653,1.00005,0.25084,0.30428,0.11576,0.02627,3.34899,2.9043,1.33259,0.0017723,0.0017723,0.0017723
25,45.6462,1.99182,1.14366,1.02307,0.60226,0.53586,0.45061,0.1059,2.72707,1.75074,1.11419,0.0017624,0.0017624,0.0017624
26,47.443,1.96753,1.10047,1.0008,0.59668,0.62625,0.48988,0.13046,2.61891,1.83743,1.09612,0.0017525,0.0017525,0.0017525
27,49.2154,1.98589,1.15282,1.00222,0.67077,0.72141,0.61155,0.26441,1.81721,1.45935,0.97185,0.0017426,0.0017426,0.0017426
28,50.9892,1.83616,1.07481,0.98654,0.65484,0.69472,0.57274,0.19841,2.25819,1.49044,1.04157,0.0017327,0.0017327,0.0017327
29,52.8981,1.95607,1.10463,0.99554,0.45385,0.50116,0.33014,0.06959,2.99997,1.82897,1.18397,0.0017228,0.0017228,0.0017228
30,54.7,1.89386,1.10376,0.99926,0.6635,0.68443,0.58416,0.23641,2.02413,1.51719,0.99666,0.0017129,0.0017129,0.0017129
31,56.4849,1.9165,1.09931,0.98948,0.60464,0.62251,0.48728,0.12461,2.71179,1.65885,1.11899,0.001703,0.001703,0.001703
32,58.2538,1.87929,1.07805,0.98501,0.24653,0.26345,0.11106,0.01583,3.77097,1.90006,1.3668,0.0016931,0.0016931,0.0016931
33,60.0076,1.9471,1.11915,0.99518,0.42409,0.45254,0.2782,0.05389,3.41069,2.19663,1.28581,0.0016832,0.0016832,0.0016832
34,61.7739,1.88812,1.07889,0.98128,0.69331,0.70699,0.6173,0.25844,1.96657,1.35303,0.97804,0.0016733,0.0016733,0.0016733
35,63.5127,1.93134,1.08731,0.9911,0.49705,0.50398,0.35394,0.06238,3.36343,1.86787,1.27964,0.0016634,0.0016634,0.0016634
36,65.2783,1.88617,1.05991,0.9837,0.43894,0.46863,0.3107,0.0663,3.30084,1.77237,1.23114,0.0016535,0.0016535,0.0016535
37,67.0346,1.92969,1.08146,0.98892,0.67578,0.70169,0.58671,0.22608,2.12649,1.50206,1.009,0.0016436,0.0016436,0.0016436
38,68.9017,1.88673,1.03787,0.99154,0.65139,0.6489,0.54708,0.16206,2.61603,1.47161,1.0927,0.0016337,0.0016337,0.0016337
