epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2565,1.14281,0.76242,0.49009,0.74465,0.66359,0.6441,0.27582,0.72288,0.58084,0.2879,0.00065641,0.00065641,0.00065641
2,27.9734,0.77371,0.51969,0.25692,0.53888,0.47789,0.3381,0.06748,1.01523,0.4946,0.48913,0.00131653,0.00131653,0.00131653
3,39.715,0.74358,0.52746,0.23562,0.7647,0.72165,0.70303,0.34109,0.63334,0.58174,0.22976,0.00197005,0.00197005,0.00197005
4,51.1105,0.71207,0.52568,0.22477,0.77615,0.71585,0.69315,0.32456,0.64823,0.53636,0.2482,0.0019703,0.0019703,0.0019703
5,62.6368,0.70789,0.5202,0.22232,0.73222,0.72165,0.67528,0.25895,0.72633,0.52258,0.29143,0.0019604,0.0019604,0.0019604
6,73.9386,0.69019,0.52863,0.21194,0.77097,0.74028,0.70637,0.34378,0.61344,0.56443,0.21605,0.0019505,0.0019505,0.0019505
7,85.3913,0.69279,0.52861,0.21644,0.79345,0.74434,0.71304,0.31937,0.6698,0.53279,0.28947,0.0019406,0.0019406,0.0019406
8,96.9829,0.67294,0.52767,0.20514,0.72075,0.71126,0.63417,0.20275,0.80348,0.52127,0.3571,0.0019307,0.0019307,0.0019307
9,108.324,0.65896,0.52298,0.19762,0.78784,0.77009,0.72278,0.35429,0.61628,0.533,0.23464,0.0019208,0.0019208,0.0019208
10,119.88,0.66305,0.52126,0.19745,0.76455,0.7451,0.68881,0.28261,0.69582,0.52454,0.27833,0.0019109,0.0019109,0.0019109
11,131.343,0.66699,0.51517,0.2013,0.76974,0.7697,0.71643,0.34747,0.62414,0.51728,0.22339,0.001901,0.001901,0.001901
12,142.449,0.65933,0.52293,0.19646,0.8027,0.7574,0.72865,0.36716,0.59565,0.52458,0.21326,0.0018911,0.0018911,0.0018911
13,153.712,0.66607,0.516,0.19643,0.77285,0.76317,0.70628,0.32263,0.63262,0.54641,0.23615,0.0018812,0.0018812,0.0018812
14,165.153,0.65045,0.52756,0.18665,0.80072,0.76817,0.72123,0.37028,0.5818,0.53915,0.19317,0.0018713,0.0018713,0.0018713
15,176.467,0.64756,0.52022,0.18784,0.77977,0.76547,0.71475,0.36602,0.58719,0.53302,0.1992,0.0018614,0.0018614,0.0018614
16,187.775,0.6503,0.52057,0.19242,0.77954,0.76855,0.69583,0.29152,0.66759,0.54164,0.26391,0.0018515,0.0018515,0.0018515
17,199.125,0.64796,0.51794,0.18523,0.77723,0.76509,0.70877,0.3319,0.64176,0.51261,0.23043,0.0018416,0.0018416,0.0018416
18,210.448,0.64349,0.52661,0.1873,0.75988,0.75048,0.69134,0.28719,0.67838,0.5295,0.26178,0.0018317,0.0018317,0.0018317
19,221.677,0.64257,0.52887,0.1893,0.78445,0.77009,0.71494,0.34977,0.61981,0.50823,0.2198,0.0018218,0.0018218,0.0018218
20,233.142,0.62639,0.52861,0.18287,0.7864,0.76624,0.71158,0.35499,0.60051,0.52411,0.20573,0.0018119,0.0018119,0.0018119
21,244.381,0.64057,0.52108,0.19639,0.80746,0.7474,0.72881,0.36912,0.60457,0.53602,0.22041,0.001802,0.001802,0.001802
22,255.462,0.6422,0.52455,0.18836,0.79701,0.76817,0.7222,0.3595,0.60607,0.50623,0.21028,0.0017921,0.0017921,0.0017921
