epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6127,2.40026,1.72695,1.61688,0.00849,0.0296,0.00697,0.00241,nan,nan,nan,0.00065641,0.00065641,0.00065641
2,17.9933,2.08917,1.25439,1.40513,0.0863,0.18147,0.02643,0.00706,3.76238,55.082,2.79751,0.00131653,0.00131653,0.00131653
3,23.3727,2.0306,1.29997,1.36676,0.00725,0.01845,0.00182,0.00038,nan,nan,nan,0.00197005,0.00197005,0.00197005
4,28.3456,2.01855,1.25736,1.36606,0.00253,0.01615,0.00109,0.00022,nan,nan,nan,0.0019703,0.0019703,0.0019703
5,33.4787,1.9451,1.22285,1.31865,0.62937,0.53731,0.45973,0.12723,2.77336,2.34551,1.86565,0.0019604,0.0019604,0.0019604
6,38.8675,1.91183,1.20434,1.30957,0.61818,0.51134,0.43792,0.14446,2.57068,1.7575,1.76909,0.0019505,0.0019505,0.0019505
7,44.2115,1.90375,1.18324,1.29699,0.65963,0.66321,0.55897,0.21567,2.19093,1.94994,1.52542,0.0019406,0.0019406,0.0019406
8,49.628,1.90449,1.19666,1.29404,0.50454,0.5198,0.36311,0.08848,2.9488,2.41644,1.98385,0.0019307,0.0019307,0.0019307
9,54.7903,1.86518,1.16406,1.28407,0.74225,0.69198,0.63974,0.26929,1.84194,1.61214,1.38404,0.0019208,0.0019208,0.0019208
10,60.049,1.85683,1.1859,1.27451,0.54077,0.46521,0.35651,0.07538,3.34639,1.80307,2.1391,0.0019109,0.0019109,0.0019109
11,65.3684,1.83845,1.14876,1.26559,0.6592,0.66359,0.5691,0.17794,2.47662,2.12164,1.63954,0.001901,0.001901,0.001901
12,70.4914,1.80809,1.16811,1.25781,0.67552,0.54979,0.53854,0.1713,2.5041,1.40942,1.66279,0.0018911,0.0018911,0.0018911
13,75.7413,1.90417,1.17309,1.284,0.67674,0.61707,0.53095,0.16177,2.64397,1.67025,1.72328,0.0018812,0.0018812,0.0018812
14,80.8514,1.82891,1.14888,1.25703,0.72003,0.65655,0.5855,0.1796,2.52871,1.34285,1.67417,0.0018713,0.0018713,0.0018713
15,86.1488,1.80584,1.13673,1.25275,0.6374,0.58208,0.48089,0.12282,2.79591,1.52131,1.82038,0.0018614,0.0018614,0.0018614
16,91.3409,1.81919,1.14318,1.26215,0.76476,0.6336,0.61379,0.22568,2.26831,1.26415,1.53981,0.0018515,0.0018515,0.0018515
17,96.4909,1.75713,1.12904,1.22134,0.75401,0.66859,0.63367,0.23887,2.12363,1.24135,1.48117,0.0018416,0.0018416,0.0018416
18,101.736,1.74166,1.13564,1.22199,0.74171,0.67782,0.61333,0.1944,2.46548,1.27488,1.65761,0.0018317,0.0018317,0.0018317
19,106.894,1.76757,1.1447,1.24838,0.64263,0.55017,0.4564,0.1018,2.91289,1.37038,1.95318,0.0018218,0.0018218,0.0018218
20,112.157,1.79541,1.12897,1.2535,0.69943,0.61745,0.56202,0.15132,2.61524,1.35058,1.72783,0.0018119,0.0018119,0.0018119
21,117.319,1.78816,1.13788,1.25082,0.76543,0.68781,0.6524,0.26683,2.06524,1.19961,1.44587,0.001802,0.001802,0.001802
