epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.97912,2.45338,1.8485,1.62821,0.00408,0.12764,0.00225,0.00115,nan,nan,nan,0.00065641,0.00065641,0.00065641
2,9.51141,2.05603,1.26185,1.37806,0.00547,0.18685,0.00349,0.00088,3.56777,inf,26.792,0.00131653,0.00131653,0.00131653
3,14.0802,2.02049,1.26903,1.34909,0.00273,0.07113,0.0013,0.0004,4.41275,110.865,4.13428,0.00197005,0.00197005,0.00197005
4,18.6207,1.98525,1.25255,1.34082,0.0281,0.38793,0.01836,0.00456,3.43894,inf,2.34955,0.0019703,0.0019703,0.0019703
5,23.3647,1.9324,1.23384,1.30462,0.21885,0.27605,0.1177,0.02264,3.73786,2.63608,2.54572,0.0019604,0.0019604,0.0019604
6,28.0792,1.85545,1.18554,1.27838,0.49064,0.36371,0.29235,0.07373,3.25809,1.81029,2.13514,0.0019505,0.0019505,0.0019505
7,32.8045,1.89436,1.1685,1.28346,0.75891,0.65013,0.61607,0.14052,2.89727,1.41938,2.14731,0.0019406,0.0019406,0.0019406
8,37.483,1.88114,1.17425,1.27789,0.30615,0.56824,0.20781,0.04862,2.99992,2.51253,2.01355,0.0019307,0.0019307,0.0019307
9,41.9286,1.83163,1.15464,1.26331,0.76237,0.7278,0.68164,0.33378,1.58728,1.32135,1.28001,0.0019208,0.0019208,0.0019208
10,46.651,1.80708,1.1551,1.25199,0.62824,0.52288,0.4482,0.11888,2.73912,1.40502,1.82374,0.0019109,0.0019109,0.0019109
11,51.131,1.80667,1.13216,1.24608,0.78143,0.70512,0.65914,0.29226,1.85319,1.26004,1.36363,0.001901,0.001901,0.001901
12,55.5964,1.77379,1.14389,1.24176,0.53587,0.53364,0.39606,0.10877,2.65834,1.45933,1.74691,0.0018911,0.0018911,0.0018911
13,60.0537,1.81479,1.15504,1.23372,0.67833,0.62022,0.52352,0.12871,2.85011,1.44065,1.87638,0.0018812,0.0018812,0.0018812
14,64.5005,1.75351,1.13081,1.22129,0.79169,0.71319,0.67681,0.32214,1.69395,1.13451,1.29774,0.0018713,0.0018713,0.0018713
15,69.0016,1.74887,1.12304,1.22338,0.74411,0.68858,0.62303,0.19867,2.36674,1.2503,1.60764,0.0018614,0.0018614,0.0018614
16,73.4431,1.78506,1.11774,1.24228,0.77439,0.7128,0.67184,0.29295,1.88188,1.16615,1.36474,0.0018515,0.0018515,0.0018515
17,77.9145,1.74246,1.13051,1.21224,0.54366,0.70819,0.48274,0.23925,1.57343,1.43239,1.26478,0.0018416,0.0018416,0.0018416
18,82.4029,1.73351,1.12783,1.2146,0.79388,0.72411,0.68246,0.32401,1.6666,1.18742,1.28368,0.0018317,0.0018317,0.0018317
19,86.8933,1.79267,1.14797,1.25247,0.80781,0.70779,0.68325,0.34507,1.57038,1.18446,1.26682,0.0018218,0.0018218,0.0018218
20,91.5999,1.74357,1.10654,1.23166,0.50238,0.4852,0.34568,0.06741,3.10606,1.44949,2.00107,0.0018119,0.0018119,0.0018119
21,96.1415,1.76363,1.11053,1.23487,0.7881,0.72933,0.69511,0.32808,1.72709,1.13128,1.30446,0.001802,0.001802,0.001802
22,100.663,1.77048,1.11821,1.24158,0.79635,0.72165,0.69413,0.34699,1.58027,1.18252,1.25213,0.0017921,0.0017921,0.0017921
23,105.797,1.72874,1.10672,1.21273,0.78694,0.73587,0.68561,0.33424,1.61774,1.23896,1.27028,0.0017822,0.0017822,0.0017822
24,110.312,1.70677,1.09258,1.20494,0.49246,0.40811,0.29516,0.0637,3.38771,1.67283,2.30281,0.0017723,0.0017723,0.0017723
25,114.826,1.72322,1.10393,1.20552,0.77686,0.72146,0.67538,0.3075,1.76542,1.20065,1.32166,0.0017624,0.0017624,0.0017624
26,119.331,1.69226,1.11126,1.21035,0.77855,0.73433,0.67665,0.295,1.85995,1.16146,1.34715,0.0017525,0.0017525,0.0017525
27,123.845,1.71862,1.1229,1.20744,0.80147,0.71088,0.70366,0.35653,1.56465,1.16334,1.24915,0.0017426,0.0017426,0.0017426
28,128.601,1.73372,1.11844,1.22239,0.77176,0.70857,0.66747,0.25765,2.07284,1.19396,1.4396,0.0017327,0.0017327,0.0017327
29,133.094,1.68274,1.08327,1.18963,0.76754,0.72587,0.66224,0.25149,2.10196,1.1428,1.45441,0.0017228,0.0017228,0.0017228
30,137.591,1.70996,1.08743,1.20866,0.76501,0.72318,0.6694,0.28731,1.94515,1.16751,1.40076,0.0017129,0.0017129,0.0017129
31,142.14,1.69983,1.09049,1.20184,0.78745,0.70204,0.67459,0.29276,1.9233,1.14857,1.38817,0.001703,0.001703,0.001703
32,146.609,1.68723,1.07685,1.19763,0.78267,0.68675,0.65701,0.28673,1.88981,1.19171,1.35564,0.0016931,0.0016931,0.0016931
33,151.124,1.66297,1.06865,1.20244,0.81134,0.70704,0.69371,0.35879,1.51903,1.12786,1.23097,0.0016832,0.0016832,0.0016832
34,155.84,1.68822,1.07655,1.18448,0.77524,0.7105,0.6912,0.32715,1.68529,1.13977,1.28931,0.0016733,0.0016733,0.0016733
35,160.336,1.67389,1.0767,1.1943,0.76277,0.71972,0.64978,0.25307,2.09181,1.20069,1.45719,0.0016634,0.0016634,0.0016634
36,164.842,1.66768,1.07891,1.18307,0.79096,0.73753,0.69752,0.34601,1.60286,1.14936,1.24609,0.0016535,0.0016535,0.0016535
37,169.361,1.68219,1.07488,1.19938,0.76583,0.70288,0.64881,0.22175,2.31342,1.19076,1.57178,0.0016436,0.0016436,0.0016436
38,173.872,1.63936,1.07513,1.18246,0.75239,0.71626,0.64417,0.22574,2.2666,1.18919,1.53854,0.0016337,0.0016337,0.0016337
39,178.382,1.65512,1.06836,1.18159,0.79034,0.72434,0.68214,0.30113,1.82781,1.12948,1.34463,0.0016238,0.0016238,0.0016238
40,182.888,1.63955,1.0787,1.16763,0.7858,0.71857,0.67638,0.27845,2.01906,1.10867,1.41387,0.0016139,0.0016139,0.0016139
41,187.4,1.63777,1.06964,1.17994,0.79121,0.71126,0.67916,0.29307,1.95259,1.13055,1.38543,0.001604,0.001604,0.001604
42,191.888,1.6315,1.07277,1.1732,0.77997,0.70281,0.66617,0.27635,2.02854,1.19132,1.4174,0.0015941,0.0015941,0.0015941
43,196.427,1.63634,1.05727,1.17241,0.80651,0.72126,0.69894,0.346,1.65669,1.08086,1.26481,0.0015842,0.0015842,0.0015842
44,200.939,1.62726,1.05011,1.17604,0.78799,0.71703,0.68582,0.30695,1.84528,1.17167,1.34274,0.0015743,0.0015743,0.0015743
45,205.691,1.65367,1.05369,1.18333,0.79788,0.74125,0.70522,0.3585,1.55822,1.10605,1.26138,0.0015644,0.0015644,0.0015644
46,210.194,1.62039,1.04425,1.16317,0.77406,0.72444,0.67126,0.2485,2.21652,1.1128,1.51787,0.0015545,0.0015545,0.0015545
47,214.683,1.61306,1.03729,1.17008,0.78051,0.73008,0.67062,0.30046,1.84752,1.14067,1.34046,0.0015446,0.0015446,0.0015446
48,219.151,1.61453,1.02509,1.15709,0.77921,0.71372,0.66845,0.24842,2.24462,1.13139,1.52153,0.0015347,0.0015347,0.0015347
49,223.658,1.65171,1.06793,1.18601,0.75173,0.71826,0.64502,0.24532,2.07833,1.19862,1.44715,0.0015248,0.0015248,0.0015248
50,228.152,1.59761,1.03108,1.16475,0.7924,0.74587,0.69736,0.35591,1.57923,1.07879,1.24877,0.0015149,0.0015149,0.0015149
51,232.648,1.59329,1.03121,1.16281,0.79616,0.72682,0.68449,0.3164,1.80398,1.10122,1.32461,0.001505,0.001505,0.001505
52,237.153,1.5834,1.04594,1.16457,0.76952,0.73425,0.66482,0.23891,2.22075,1.17707,1.52825,0.0014951,0.0014951,0.0014951
53,241.653,1.61093,1.04779,1.17278,0.77923,0.72088,0.67426,0.29218,1.90509,1.09296,1.38699,0.0014852,0.0014852,0.0014852
54,246.159,1.57907,1.04076,1.15812,0.79068,0.72741,0.68836,0.32121,1.70658,1.11099,1.2888,0.0014753,0.0014753,0.0014753
55,250.685,1.62504,1.04033,1.17217,0.78857,0.74856,0.69308,0.33523,1.61998,1.08495,1.26153,0.0014654,0.0014654,0.0014654
56,255.198,1.59603,1.04864,1.16206,0.80036,0.74318,0.6989,0.35177,1.60758,1.10271,1.24969,0.0014555,0.0014555,0.0014555
57,259.729,1.55712,1.02668,1.15788,0.79741,0.7401,0.697,0.35546,1.57835,1.08799,1.23492,0.0014456,0.0014456,0.0014456
58,264.246,1.54222,1.01061,1.14693,0.80567,0.7401,0.69925,0.33934,1.65417,1.09633,1.28255,0.0014357,0.0014357,0.0014357
59,268.784,1.56154,1.0212,1.14577,0.79316,0.74894,0.70628,0.34389,1.68655,1.06995,1.28082,0.0014258,0.0014258,0.0014258
60,273.313,1.57059,1.03436,1.15863,0.78408,0.74974,0.69027,0.28456,1.98388,1.07115,1.40116,0.0014159,0.0014159,0.0014159
61,277.84,1.54953,1.01406,1.15313,0.79453,0.74817,0.6985,0.34853,1.57958,1.08003,1.24584,0.001406,0.001406,0.001406
62,282.347,1.56661,1.01987,1.15695,0.79611,0.73818,0.69387,0.34646,1.61766,1.06612,1.25796,0.0013961,0.0013961,0.0013961
63,286.893,1.56689,1.01627,1.1591,0.80794,0.7278,0.71125,0.36783,1.51012,1.09139,1.23244,0.0013862,0.0013862,0.0013862
64,291.633,1.55132,0.99614,1.14388,0.78267,0.75125,0.68326,0.31452,1.77566,1.11043,1.32048,0.0013763,0.0013763,0.0013763
65,296.117,1.54269,1.01228,1.15127,0.79785,0.73203,0.69624,0.32707,1.74696,1.08818,1.31475,0.0013664,0.0013664,0.0013664
66,300.617,1.5357,1.01676,1.14829,0.79628,0.73937,0.6845,0.30878,1.85679,1.08785,1.34565,0.0013565,0.0013565,0.0013565
67,305.368,1.52475,0.99212,1.14135,0.78841,0.71357,0.67892,0.28883,1.96164,1.09131,1.40584,0.0013466,0.0013466,0.0013466
68,309.873,1.55047,1.01396,1.14802,0.77796,0.7382,0.67065,0.28576,1.88457,1.15163,1.36383,0.0013367,0.0013367,0.0013367
